Subject,Email,Department
 Looking for Industrial Engineering Internship at Aramco,"Dear Aramco Internship Coordinator,

I hope this email finds you well. My name is Khalid, and I am a dedicated Industrial Engineering student at King Fahd University of Petroleum and Minerals (KFUPM). I am writing to express my interest in pursuing an internship opportunity at Aramco.

I am eager to apply the theoretical knowledge and practical skills I've gained in my academic studies to a real-world setting. Aramco's reputation for excellence and innovation in the industrial sector aligns closely with my academic pursuits and career aspirations.

I have attached my resume and a letter from KFUPM, which highlights my academic achievements and my commitment to excelling in the field. I am enthusiastic about the prospect of contributing to Aramco's projects and operations, and I am confident in my ability to learn and adapt quickly.

I am open to any further documentation or information required for the application process and am available for an interview at your convenience.

Thank you for considering my application. I am looking forward to the possibility of contributing to Aramco's success and leveraging this internship opportunity to enhance my skills and knowledge in the field of Industrial Engineering.

Warm regards, 
Khalid Alghamdi",HR
Collaboration Opportunity for Social Insurance Programs,"Dear Rawabi Holding,

I hope this message finds you well. I am writing on behalf of the General Organization for Social Insurance (GOSI) in Saudi Arabia.

At GOSI, our primary commitment is to ensure the welfare and social security of employees within the private sector. We are consistently looking for avenues to enhance our programs and extend our support to employees and employers.

We believe that collaboration with reputable organizations like yours can bring forth significant opportunities for advancing our shared goal of providing comprehensive social insurance and security to the workforce.

We would like to explore potential collaborative opportunities that could benefit both our institutions and, more importantly, the employees we serve. This collaboration could include sharing expertise, best practices, and insights that contribute to optimizing our social insurance programs and ensuring greater employee protection and support.

We are open to discussions and meetings to explore how our organizations might work together to enhance social insurance and the welfare of employees.

We look forward to the possibility of collaborating with Rawabi Holding for the betterment of our social insurance programs and the well-being of employees in the private sector.

Thank you for considering this proposal. Please let us know a suitable time for a meeting or discussion to explore this collaboration further.

Regards,
Sultan Alsultan
Business Analyst
General Organization for Social Insurance (GOSI)
+013 88266944",HR
 Announcement of New Tax Regulations and Compliance Requirements - ZATCA,"Greetings,

I am writing on behalf of the Zakat, Tax, and Customs Authority (ZATCA) to inform you of new regulations and compliance requirements that have been introduced.

As part of our ongoing efforts to streamline tax procedures and ensure regulatory compliance, the ZATCA has implemented new guidelines affecting businesses operating within our jurisdiction.

The recent updates involve modifications to tax reporting, declaration, and compliance standards that impact businesses of varying sectors and sizes. These changes are designed to enhance transparency, improve tax governance, and ensure adherence to the law.

We understand the importance of compliance and wish to support your organization in understanding and adhering to these new regulations. Our aim is to facilitate a smooth transition by providing resources, guidelines, and support in meeting the requirements.

Our team is available to provide assistance and address any queries or concerns you may have regarding these changes. Additionally, we will be conducting workshops and sessions to assist companies in understanding and implementing these modifications effectively.

Please feel free to reach out to us for further information, guidance, or to schedule a meeting to discuss the impact of these regulations on your business operations.

Thank you for your attention to this matter, and we look forward to supporting your organization in achieving compliance with the new tax regulations.

Best regards, 

Reem Alomair
Tax Compliance Officer
Zakat, Tax, and Customs Authority
reem.alo@ZATCA.come",HR
Access High-Quality Online Courses for Your Employees at Special Rates,"Dear ADNOC,

I am writing from Coursera with an exclusive offer designed to empower your employees with access to world-class online courses at preferential rates.

At Coursera, we understand the importance of continuous learning and upskilling for organizational growth. We are excited to extend a special opportunity for the employees of ADNOC to benefit from our extensive library of high-quality online courses.

Our offer includes:

1. Discounted Corporate Rates: As a valued partner, your employees will gain access to our extensive catalog of courses at special rates, ensuring cost-effective opportunities for professional development.

2. Diverse Course Offerings: From technical skills to business management, data science, leadership, and beyond, our platform hosts a wide array of courses from top universities and industry leaders.

3. Flexible Learning: Our platform provides the flexibility for employees to learn at their own pace, anytime and anywhere, catering to their individual schedules and needs.

4. Skill Development for Career Advancement: Empower your employees to acquire new skills and knowledge that will not only benefit them individually but will also contribute to the growth and innovation of your company.

By availing of this offer, your employees can access our premium courses at a special rate of 20% off standard prices. Additionally, for bulk enrollments of over 150 employees, we are pleased to offer an additional 15% off.

We believe that investing in the continuous education and skill development of your workforce is key to driving success and innovation within your organization.

We would be delighted to further discuss this opportunity and tailor it to suit the unique needs of ADNOC. Please let us know a convenient time for a meeting or call to explore this partnership.

Thank you for considering this exclusive offer. We are excited about the potential of working together to empower your employees through learning and skill development.

Kind regards,

Kay Andron
Coursera",HR
Celebrate The Saudi National Day with a Captivating Advertising Campaign!,"As the Saudi National Day approaches, it presents a remarkable opportunity to honor the rich heritage and spirit of unity in the Kingdom. At Habar, we're excited to propose an engaging advertising campaign to commemorate this special occasion.
Our goal is to create an impactful campaign that not only celebrates Saudi National Day but also resonates with your audience, fostering a deeper connection between Tadawul and the community.
We would love to discuss this proposal further, tailoring the campaign to best reflect the ethos and values of your brand in celebrating this significant national event.

Please let us know a convenient time for a meeting or call to explore this exciting opportunity and kickstart a campaign that will leave a lasting impression.

Thank you for considering this proposal. We look forward to the potential of collaborating with Tadawul to create an inspiring Saudi National Day campaign.

Best regards,

Abdullah Almajid
Habar Marketing Agency",HR
Collaborative Partnership for Streamlined Employment Services,"Dear SEC,

I hope this message finds you well. I am reaching out on behalf of SMASCO to propose a collaborative partnership that can significantly enhance your company's access to top-tier talent and streamline your employment services.

At SMASCO, we specialize in providing comprehensive manpower solutions that cater to a diverse range of industries and organizational needs. We are enthusiastic about the possibility of extending our services to your esteemed company, leveraging our expertise to fulfill your workforce requirements effectively.

Our proposed collaboration includes the following key services:

1. Tailored Staffing Solutions: We offer customized recruitment services, providing skilled, pre-screened candidates suitable for your specific job requirements.
2. Temporary and Permanent Staffing: Whether your company needs temporary or permanent staff, we can provide qualified individuals to fill those roles efficiently.
3. Recruitment Process Outsourcing (RPO): Our RPO services assist in managing your recruitment process, saving time and resources.
4. HR Consultation: We offer consultations to optimize HR strategies and procedures, ensuring a streamlined approach to talent acquisition and management.

We would welcome the opportunity to discuss the potential collaboration further. Please let us know a convenient time for a meeting or call to explore this partnership.

Thank you for considering this proposal. We look forward to the prospect of working together to meet your employment service needs.

Regards,

Abdulrahman Mohammed
00971529282910",HR
What's the Employee Benefits at Your Company?,"Good morning..
As someone considering potential opportunities within your esteemed organization, understanding the benefits you provide to your employees is important to me. I am particularly interested in gaining insights into the range of benefits available, such as healthcare coverage, retirement plans, professional development opportunities, and any additional perks or support programs offered to your employees.
Thank you for your time and consideration...",HR
Rating the Work Environment,"To whom it may concerns,

As part of our ongoing initiatives to enhance workplace quality and standards, the Ministry of Human Resources is conducting a brief survey to gather insights on the work environment at various organizations.
We kindly request your participation in assessing and providing feedback on your company's work environment. Your input will be invaluable in aiding our efforts to ensure conducive and supportive workplaces across the nation.
Please expect a follow-up email shortly containing the survey link and instructions.

Thank you for your cooperation and contribution to this endeavor.

Kind Regards
Nawaf Alosami
Ministry of Human Resources",HR
Exclusive Launch Discount for Your Employees,"Greetings from Domino's ! We are excited to extend an exclusive offer to your employees to celebrate the launch of our delectable new menu.

As a token of appreciation, we would like to offer all your employees a special discount of 40% on their meals at our restaurant.

Our new menu is crafted with care, offering a variety of sumptuous dishes, ensuring a delightful culinary experience for you and your colleagues. Whether you're seeking a quick lunch or a relaxed dinner, our menu caters to diverse tastes and preferences.

To redeem this offer, simply present your company ID or mention the code ""D23"" when placing your order at Domino's. The discount will be applied to your bill as our way of welcoming you to experience our flavors.

We invite you and your team to join us at to savor our delectable offerings and celebrate the launch of our new menu.

This special offer is valid from 10/11 to 10/12, so don't miss out on this opportunity to enjoy a delightful dining experience with us.

Thank you for considering our offer, and we look forward to hosting you and your colleagues for an exceptional culinary experience.

Domino's Team",HR
Inquiry Regarding Contract Terms and Conditions,"To the Legal Team,
I am writing as a stakeholder inquiring about specific clauses within the contract recently provided by your company. I would greatly appreciate clarification on the terms and conditions outlined in sections 4.2.

Could you kindly provide further details or explanation regarding these sections? Clarity on these points is crucial to moving forward with our mutual agreement. Your prompt response to this matter would be greatly appreciated.

Thank you for your attention and assistance.

Sincerly, 
Zak Jason",HR
Legal Inquiry Regarding Employee Rights," Hi HR Team, I have a legal query concerning employee rights. Can someone from the legal department assist?",HR
Question about your compan'y culture ,"Hello..
I'm considering applying to your company. Could you provide insights into the company culture and values?
Thanks",HR
Exploring Collaboration Opportunities for Innovative Payment Solutions,"Dear Namshi,

This is Noor from Tamara, a leading provider of innovative ""Buy Now, Pay Later"" solutions that are reshaping the landscape of retail transactions.

Our mission at Tamara is to revolutionize the purchasing experience, offering customers a convenient and flexible payment solution that enhances their shopping journey. I'm reaching out to explore potential collaboration opportunities that could benefit both our organizations.

We're keen on partnering with forward-thinking companies like Namshi to integrate our payment solutions into your platform, offering your customers a seamless and flexible purchasing experience. Our platform is designed to increase customer satisfaction, boost sales, and provide a competitive edge in the market.

I'd love the opportunity to discuss how a collaboration between Tamara and Namshi could create value for both parties. We believe our innovative payment solutions align well with your company's commitment to offering an exceptional customer experience.

Could we schedule a call or meeting to explore potential integration or partnership possibilities? I am available at your convenience to delve deeper into the details of how our services can complement your offerings.

Thank you for considering this collaboration opportunity. I look forward to the potential of working together to provide innovative and convenient payment solutions to your customers.

Noor Hadid
Business Developer
Tamara
noor.t@tamara.com",HR
Request for Employee Details for Necessary Action,"Dear Mobily,

We kindly request the following details to proceed with our actions:

1. Total number of employees
2. Number of local employees (SAUDI)
3. Number of foreign employees

Your prompt assistance in providing these details will significantly help us in our processes. Thank you for your cooperation.

Best regards,

Hamad Alnasser
Ministry of Saudization Requirements and Talent",HR
Job Contract (My ID: Id number:109988002),"Hello,

I was communicating with Abdulla for my job contract but suddenly he stoped replaying and as I know he is not part of the company any more and I tried calling no one is answering can somebody do me a favor and connect me with person involved.

Id number:109988002
Phone number:0501234567
Regards",HR
Internship for 16 weeks,"As we all know with the vision of 2030 and the market are looking for the best quality available and your company are will known. Is their any chance to get an Internship with the Company for 16 weeks.
Best Regards..",HR
Hiring Company,"Dear Takamol,

We are a hiring company that we could help you with your next recruitment strategy, interviews and candidates we can do all upon you request.

To know more please contact us in hiring.ksa@gulf.com or +966 11 4446622",HR
I need your assistance please,"Good morning

As I found in linkedin job role for Data Analyst Fresh Graduate and I looked through the website and could not found a place to apply so I sending this email including my resume hopefully it get to whom who concern.

Regards",HR
Asking for Updates,"Dear Wizz Air,

Can you send me updates regarding my candidate number Jx3000.

Thanks and best regards,
Naif",HR
 Invitation to Support Breast Cancer Awareness Event,"Dear Google,

I hope this message finds you well. As we gear up to commemorate Breast Cancer Awareness Month, we are excited to extend an invitation to National Cance Institute's upcoming event in support of this significant cause.

Event Details:
- Date: 5 / 10 / 2020
- Time: 9:00 AM - 3:00 PM
- Venue: Event hall at our office
- Purpose: Raising awareness and support for breast cancer research and advocacy.

We would be honored to have Google join us at this event dedicated to raising awareness, fostering support, and promoting education about breast cancer. Your participation will contribute significantly to the success of our initiative.

The event will encompass informative sessions, engaging activities, and opportunities to support and contribute to this vital cause. Your presence and potential collaboration in this endeavor would be deeply appreciated.

Please let us know if your team would be interested in participating or supporting this event in any capacity.

Thank you for considering this invitation. We eagerly anticipate your response and potential involvement in this meaningful cause.

Warm regards,

Olivia Henry
Event Coordinator
Olivia.Henry@NCI.com",HR
Notification of Raised Case by Former Employee,"Dear P&G,

I am writing from Ministry of Human Resources to inform you of a case raised by a former employee regarding their termination from our organization.

It has come to our attention that Ministry Emma James has lodged a formal complaint or raised a concern following their termination. As per company policy and legal regulations, we are committed to addressing this matter with transparency and fairness.

Our intention is to handle this situation with utmost diligence, ensuring that all parties involved are heard and that the matter is investigated thoroughly.

To initiate this process, we would appreciate the opportunity to discuss the situation further. Please let us know a suitable time for a meeting or call to delve into the specifics of the raised case and collaborate on resolving this matter in a manner that upholds the values and policies of our company.

We value your prompt attention and cooperation in addressing this issue.

Thank you for your understanding and consideration.

Warm regards,

Ella Mikel
Human Resource Manager
+12 4426594",HR
Request for Demonstration: Security Camera System,"Hello, good day! 

I am Maha from Deer, and I specialize in security camera systems designed to enhance surveillance and safety measures.

I would like to request the opportunity to present a live demonstration of our security camera solutions for your company. Our system offers cutting-edge features that prioritize safety, efficiency, and ease of use.

I believe a demonstration could provide firsthand insight into the capabilities and benefits our system can bring to your organization.

Please let me know a convenient time for a demo presentation, and I'll be more than happy to set it up and showcase how our security cameras can elevate your security standards.

Thank you for considering this request. I look forward to the opportunity to demonstrate our system's capabilities.

Best regards,

Maha Faiz
Sales Specialist
Deer.com",HR
Volunteer,"Hi, I heard from one of your employees that you are looking for volunteers for the World cup 2034 and I would like to apply for it.",HR
Harassment Complaint Report,"Hi, 

I am writing to report an incident of harassment that I experienced during my recent visit to Jarir (Dhahran Branch) with one of your employees, Hassan Mohammed.

On 12/5/2019, I was engaged in discussion with him. During this interaction, Hassan displayed behavior that made me feel uncomfortable and harassed.

I take this matter seriously and believe that such behavior is unacceptable and contrary to your company's policies. I am reaching out to you to report this incident and request a thorough investigation into the matter.

I would appreciate confidentiality and sensitivity in handling this issue. I am willing to provide more information and any support needed for a proper investigation.

Please advise on the next steps and the procedures to address this situation promptly.

Thank you for your attention and support in this matter.

Sincerely,

Deema
050087134",HR
Offering Cost Consultancy Services,"Dear Sadara,

I hope you are doing great. My name is Anas, and I specialize in providing cost consultancy services aimed at optimizing financial strategies and enhancing operational efficiency.

I am reaching out to offer my expertise in cost management, budget analysis, and financial optimization to assist your company in achieving its financial objectives.

My services include:
- Thorough cost analysis and identification of potential savings.
- Comprehensive budget assessments to streamline expenses.
- Strategic financial planning to optimize resources and maximize profitability.
- Customized solutions to address specific financial challenges your company may be facing.

I am eager to discuss how my services can benefit your organization. I have attached my contact information for your reference. Please feel free to reach out to schedule a meeting or call at your convenience.

Thank you for considering my services. I am excited about the potential opportunity to collaborate and contribute to your company's financial success.

Warm regards,

Anas Abdullah
Senior Consultant
Anas.Abd@ey.com
+011 8826593
+951 555121290",HR
Sponsorship Request for Global Tech Event 2025,"Dear NVIDIA,

I am reaching out on behalf of Elm to request sponsorship for our upcoming Global Tech Event 2025 in Dubai.

Our event aims to gather leading tech innovators, thought leaders, and enthusiasts from around the world to discuss emerging trends, share insights, and foster collaborations in the tech industry.

Your sponsorship would significantly contribute to the success of this event, providing visibility and support to the tech community on a global scale.

We would greatly appreciate the opportunity to discuss the potential benefits and details of this sponsorship. Your involvement will be invaluable to us in creating an impactful and successful event.

Please let us know if a brief call or meeting would be possible to explore this opportunity further.

Thank you for considering our request. We look forward to the potential of your support.

Regards,
Hessa Alflasi
Hessa.al@elm.com",HR
Site Visit Tomorrow for Quality Control Inspection,"Dear Albaik,

This is Fatema from Saudi Food and Drugs Authority to inform you that our team will be conducting a site visit tomorrow for the purpose of quality control inspection and assessment of standards.

This visit aims to ensure compliance with regulatory requirements and to evaluate the quality control measures in place at your facility. We appreciate your cooperation and look forward to a productive and insightful visit.

Please ensure that the necessary personnel are available to facilitate the inspection and provide the relevant documentation.

Thank you for your attention to this matter. We anticipate a successful and collaborative visit.

Best regards,
Saudi Food and Drugs Authority",HR
My CV,"Good afternoon. What are your working hours and what are the plans for the new employees? Find attached my CV for further action.
Regards",HR
Comprehensive Management Course Offerings,"To IAU,

Our company specializes in offering a range of comprehensive Managemnt workshops, both conducted at our facilities and available for on-site delivery at your convenience.

Attached, you will find documents and examples showcasing our diverse course offerings designed to cater to your educational needs and professional development.

We look forward to the opportunity to discuss how our courses can benefit your team and organization.

Regards,

Ahmed
BestCourses.com
Ahmed@bestcourses.com",HR
Requirements for Completion of PhD Degree,"Dear Stanford University, 

My name is Nouf. I am currently pursuing my PhD and am inquiring about the specific requirements needed for the successful completion of my degree.

Could you kindly provide guidance or information on the necessary steps, criteria, and any additional requirements needed to fulfill the academic standards and prerequisites for completing my PhD program?

Thank you for your support.

Best regards,
Nouf",HR
Request for Company's Commercial Registration Number,"Dear Camel Step,

I hope this message finds you well. I am writing on behalf of the Ministry of Commerce to request information regarding your company's Commercial Registration Number.

We kindly ask for your cooperation in providing the current and valid Commercial Registration Number for our records.

Your prompt attention to this matter is greatly appreciated. Thank you for your cooperation and timely response.

Best regards,

Faisal AlShaye
Ministry of Commerce
[Contact Information]",HR
Thank you for the Interview Opportunity,"Dear Meshari, 

I couldn'r reach your personal email but I wanted to express my gratitude for the opportunity to interview for the Interior Designing role with Midmac. It was a pleasure discussing the role and learning more about the team and company culture.

I appreciate your time and consideration. I look forward to the possibility of contributing to Midmac.

Thank you once again.

Best regards,
Amal Aldossari",HR
Apology for Missing the Interview,"Dear HR Team,

I am writing to extend my sincerest apologies for missing the scheduled interview for the IT specialist at Honeywell.

Regrettably, due to an unexpected situation, I was unable to attend as planned. I understand the importance of punctuality and professionalism and deeply regret any inconvenience caused.

I hold the utmost respect for Honeywell and the opportunity to be considered for the position. I sincerely apologize for any disruption this may have caused.

I am hopeful for an opportunity to reschedule the interview or provide any additional information required.

Thank you for your understanding.",HR
Interview confirmation ,"Dear HR, 

I just wanted to send this email as a confirmation for the job interview tomorrow, if there is any rescheduling please let me know.

Regards 

Ahmad AlAli",HR
Interview thank you ,"I hope this email finds the HR department as I want to thank the whole department for their effort for today’s interview 

Thank you ",HR
Job offer acceptance ,"Good afternoon 

I just got a message that informs me that I got accepted in the job offer tag I got interviewed for last week, can you inform me with the details about when can I join ?

Thank you 

",HR
Job offer rejection,"This is Sara Ahmad 

I want to know more about why I got rejected for the job offer that I applied on

Best wishes",HR
Salary negotiation,"Dear HR

I got accepted in the job offer but I just want to know if we can negotiate more about the salary, I forgot to ask about that in the interview that I had with you few days ago.

I hope this email finds you 

",HR
Sick leave details,"Hello

I saw some good job offers and I want to know about the sick leave policy and details that you have, I have a serious medical issue, and I want a flexibility with the sick leave that the company can give

Best regards",HR
Vacation details,"Good morning 

Before applying to the job offer that you recently announced on, can you send me details about the vacation that this job include?

Regards ",HR
Resignation details,"I applied for the job offer but the resignation details are not included, can you send me information about it ? ",HR
moving to another department details,"Hey, good evening 

I just wanted to ask about if I worked for a certain department in your company and I proved that I deserve to be moved to a higher department, what’s the process of that ? 

Thank you for assistance ",HR
More info about the departments,"To Riyadh public school

Can I know more about the department that you have job offers at ? 

Thank you for your help ",HR
workplace details ,"Good morning Apple team

Can I know more about the workplace and how it is working in your offices? 

Thank you ",HR
Worklocation details,"Dear HP team

I just wanted to request you sending me the new work location because I am concerned about it, and I have to check it to make sure it suits me before applying to any of your job offers

Best wishes",HR
Overtime details,"Can the team send the overtime work details for me?

Regards

",HR
Request for tuition ,"Jeddah university 

I hope this email finds you, I want to ask if you have private tuition classes for students from outside the university.

Thank you ",HR
Tuition details ,"Dear HR team 

 Before applying to the community college, can I know more about the tuition classes for the university please?",HR
information about flexible work ,"Good afternoon 

I want to apply for a part time job, can I know how flexible the work with your company can be ? 

Thank you for assistance ",HR
Employee performance improvement plan,"To almarai company

Can I know more about the plan for the improvement of the performance for the employee?, it’s not mentioned with the job offer details.

Best regards ",HR
family medical insurance details,"Greetings 

I am concerned about the family health care and insurance that your company gives, can you please send me details about it ? ",HR
job assistance details,"Hello

I want more details about the job assistance, can you send it on the same email I am sending from ? 

Best wishes ",HR
More information about company events ,"Greetings 

I heard that your company runs plenty of events every year, can you let me know what are your upcoming events? And if there is a chance for your company to have a collaboration with another company on some of the events?

Regards ",HR
Request for HR policy ,"I am sending this email to know more about the HR department policy as we are trying as a small company to improve our policy 

Appreciate it ",HR
Request for training ,"Greetings HP company 

I’m a head of alfajer company IT department, and I want to ask if you can have some of our company employees to have a training some days of the next week.

Best wishes ",HR
College student ,"Hello HR department 

I want to apply to the college but I am not sure what is the way to apply, can you help me?

Thank you for your time and effort ",HR
Course details,"Good evening 

I heard that you’re having a cyber security course in your company next month, but I can’t find the details, can you send me it? 

Thank you for assistance ",HR
news paper registration ,"Dear HR 

I want to register In the news paper as a director, and I would love to send my previous work so you can have an idea about me 

Tell me if you’re interested ",HR
shared offices cooperative ,"Dear HR, 



   We reached out to you previously in regards to our shared offices cooperative but there seems to be some creative difference between our lead designers. We wish to arrange for an appointment with your executives in order to sort it out.



  Thank you.",HR
offer availability ,"To AlHussein Group, 



    I've received a job offer for vice regional manager last month and I responded by saying that I'll take it into consideration.



   I wish to know if the offer is still on the table and I apologise for taking my time with responding. 



Kind regards.",HR
charity work applying ,"Good afternoon,



   I'd like to volunteer in your charity work initiative for raising ADHD awareness, may I please get in touch with one of the organisers?



  Best of wishes.",HR
old equipment ,"To whom it may concern,



   I am a neighbor who lives next to your office building and each day I walk from the back side of your building which faces the corner store and I keep noticing old equipment stacked on top of each other being accumulated.



   That equipment could pose a safety danger for those passing by and frankly, they look quite ugly. 



   I wish you can do something about it and find somewhere else other than the public space to store them in.



  Thank you.",HR
school fees,"Dear Ahmed Mohsen International school,



   Last week I've taken a tour around your school and me and my wife have had a discussion with the Principal Mr. Ali regarding all our questions and concerns but we forgot to ask about one important detail.



  As we understand it, the term fees need to be payed for the student to be allowed to continue in that term but we wonder if we could allow our daughter to continue that particular term while we pay the fees gradually throughout its period, say for example one third of the total amount each month till the end of the 3 month long term. 



  We'd love of you get back to us soon. 



Sincerely, 

   Mr. Ramez",HR
CV attachment,"To AlMoosa cooperative,



  I wish to inquire about any job vacancy in your company that I may apply to. 

  

  You'll find my CV in the attachment below.



  Kind wishes.",HR
digital acceptance,"Dear International Students Office,



  I just received digital acceptance and I want to know what’s the next step that I should take so I can be assigned as an official student, can you help? 



Kind regards.",HR
bachelors changing departments,"Dear ISO,  



  I am curious to know about the procedures relating to changing programs and switching into different departments as a bachelor's student. I've been interested in applying to your institution and I'd like to know more before committing, hence I'd like a response before the application period commences.



Thank you.",HR
bachelors program ,"Dear Admission office,

  It's not announced on your website yet, when should we expect the admissions for the bachelor's programs to be open this year?

",HR
facilities access,"Dear Human Resources,

  

  I’m interested in applying for your current vacant job position. Everything in detail is outlined about the job but since there won’t be an interview, I feel compelled to ask this via email before sending my application.



  Do the staff of the hotel get access to the recreational facilities? And if so then is it at certain times? Do we get to access them off work hours? And any other details related to these questions.



  I’d love a response soon.

Thanks.",HR
excellent teaching ,"To who may see this letter,



  I took a program with your company before, and I would like to once again thank everyone SINCERELY for their efforts in the program. So far I’ve landed a couple of interviews and it looks very promising and this wouldn’t have been the case if it wasn’t for the excellent teaching that you guys provided. So one more time, Thank you.",HR
time suggestion ,"Hey Rajeet,



  It tells me in here in the schedule that we are meant to meet at 2:40 PM Wednesday for the cyber security evaluation but the evaluation itself, according to our previous work on companies of this scale, takes atleast a couple of hours, therefore doing it at 4:40 PM wouldn’t be suitable since your offices close by 6:00 PM.



  I suggest we change the schedule for another time that can gives us at least 3 hours to work with.



Sincerely, 

  Hussein.",HR
confusion about some details,"Dear Admission committee,



  I wish to enroll in your university’s prep year for scientific disciplines, although despite visiting your website looking for information, I still am left confused about a particular point.



  I graduated this year with IGCSE certificates and acquiring 8 subjects in total. Your website doesn’t mention IGCSE in its criteria so I wonder if I’d be able to enroll in the prep course with these certificates.



  I’d appreciate a reply as soon as possible.



Kind regards.",HR
specific time,"Dear HR, 



  In your last email you’ve gave me the date for the interview but you didn’t mention at which hour exactly I’m supposed to be in your premises, so I wish you can clarify that.



Thank you.",HR
change location ,"Hey asala university 

  I’ve heard that the concert is going to be conducted at the stadium in jeddah street instead of the one in the advertisement , is that true?",HR
tuition time,"
Morning, 

Is there any flexibility when it comes to the tuition classes of the university for someone from another university?",HR
new certificate,"Hello, 



  I’ve contacted your office several times recently about sending me a new corrected certificate for the course I took, but I’ve been met with silence the entire time.



  University applications open soon and during those applications they’ll primarily look at the marks written in these certificates and transcripts therefore i urgently need you to send me the corrected versions ASAP.



  I hope this makes it to you.



Sincerely, 

  a concerned student.",HR
Rejecting without any reasonable reason!!,"Dear HR,



  I interviewed for a job opening recently and I just received the rejection letter. It didn’t outline any reasons for my rejection therefore I’d appreciate if I can be informed as to what caused my rejection.



Best wishes",HR
professional treatment!!,"Hey, 



I sent an email few weeks ago asking about the company details and I received an unprofessional reply, this is not acceptable and I wish you look through the HR employees to make your situation better.



Thank you.",HR
sport centre cancellation,"Greetings,



  I’ve inquired about your sports centre in person last week but I forgot to ask about the details pertaining to cancellation, which are:

-is there a fee for cancelling?

-do I get refunded for the rest of the months of the subscription?

-if I cancel but wish to enroll again, will I be able to continue the remaining months of the previous subscription?

  

  Thanks for your cooperation.

Best Regards",HR
transcript file,"Dear HR,  



   I forgot to give you my transcript during our last interview so here it is! (check the attachment). I just received the employment contract and went through it, all seems good except for a minor detail.



Sincerely, Sarah.",HR
School transfer,"Dear Admission board,  



  I've been recently looking around for a school to transfer my son into and so far I've been impressed by the track record of your institution which led me to consider it as a destination for him. Although I have a question in regards to admission periods.



  Is it possible to enroll my son at the beginning of the second term? And if so, will the school offer him courses to catch up to the rest of the students?



  I tried checking your website for answers but I didn't find anything that answered my concerns. 



Kind regards.",HR
Renewing membership ,"Hello 

I used to be a member in your gym about a year ago and now Im considering renewing my membership but I wonder if Im going to pay for the registration fee again I dont think  it would make sense since Ive already been a member but Im not sure which is why Im writing this email. Thank you.",HR
